0x000001FFB1B5AC50, 38746450935741448, 1444336319, 1444336326, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450936393120, 1444336389, 1444336397, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450937048784, 1444336449, 1444336457, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450937716552, 1444336519, 1444336527, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450938377760, 1444336590, 1444336597, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450939043648, 1444336649, 1444336656, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450939696752, 1444336719, 1444336727, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450940361728, 1444336789, 1444336798, 9, 1920x1080 
0x000001FFB1B5AC50, 38746450941023592, 1444336850, 1444336856, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450941681424, 1444336920, 1444336928, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450942344680, 1444336980, 1444336987, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450943004840, 1444337049, 1444337057, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450943666560, 1444337120, 1444337127, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450944333488, 1444337179, 1444337187, 8, 1920x1080 
0x000001FFB1B5AC50, 38746450944986960, 1444337250, 1444337256, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450945641016, 1444337309, 1444337316, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450946310832, 1444337380, 1444337387, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450946974624, 1444337439, 1444337446, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450947634912, 1444337509, 1444337515, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450948282760, 1444337580, 1444337586, 6, 1920x1080 
0x000001FFB1B5AC50, 38746450948945968, 1444337640, 1444337647, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450949608160, 1444337709, 1444337716, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450950268840, 1444337779, 1444337786, 7, 1920x1080 
0x000001FFB1B5AC50, 38746450950926176, 1444337839, 1444337846, 7, 1920x1080 
